영화제목,직감,이야기,감독경력,동원경험,배우,관람객 평점,전체 댓글 수,관객 수,Classes
블레이드러너2049,9,11,14,1,14,8,5,32,0
쥬라기월드,16,15,11,1,14,9,5,566,1
독전,15,12,6,1,13,8,5,370,1
데드풀2,16,16,10,1,14,9,5,378,1
어벤저스인피니티워,19,19,10,1,15,9,5,1121,1
한솔로 스타워즈,6,11,11,1,9,8,4,21,0
챔피온,13,9,5,0,12,8,5,112,0
레디 플레이어 원,16,15,15,1,6,9,5,225,0
램페이지,12,12,9,1,12,9,5,138,0
곤지암,13,13,6,0,3,8,5,267,1
신과함께 - 인과연,15,15,12,1,15,8,5,1000,1
극장판 헬로카봇 : 백악기 시대,10,10,10,1,9,9,4,70,0
미션 임파서블: 폴아웃,19,8,15,1,15,9,5,700,1
인크레더블 2,12,8,10,1,10,9,5,300,1
어느 가족,10,14,13,1,9,9,4,10,0
인랑,9,8,15,1,15,6,5,100,0
앤트맨과 와스프,11,12,14,1,11,9,5,544,1
마녀,8,9,10,1,9,9,5,318,1
바르다가 사랑한 얼굴들,8,10,15,1,8,9,2,3,0
부산행,8,8,17,1,8,9,5,1150,1
검사외전,5,6,4,1,13,9,5,970,1
캡틴아메리카,8,6,4,1,12,9,5,867,1
밀정,13,14,22,1,15,9,3,750,1
터널,12,13,5,1,15,9,5,712,1
인천상륙작전,3,2,7,1,6,9,4,705,1
럭키,13,14,9,1,14,9,4,697,1
곡성,17,15,7,1,14,8,5,687,1
덕혜공주,13,8,22,1,12,9,4,559,1
닥터스트레인지,12,10,13,1,12,9,5,544,1
1987,16,16,7,1,14,9,5,720,1
불한당 (나쁜놈들의 세상),7,8,8,0,11,8,5,95,0
7년의 밤,14,13,13,1,13,6,5,53,0
더킹,17,18,12,1,13,8,5,530,1
살인자의 기억법,18,19,10,0,12,8,5,260,1
그래비티,19,20,12,1,14,9,5,320,1
은밀하게 위대하게,12,13,10,0,10,7,5,690,1
건축학 개론,17,17,14,1,11,10,5,410,1
부러진 화살,12,13,15,1,14,9,5,350,1
범죄와의 전쟁,16,18,15,1,15,9,5,470,1
한솔로 스타워즈,6,11,11,1,9,8,4,21,0
챔피온,13,9,5,0,12,8,5,112,0
레디 플레이어 원,16,15,15,1,6,9,5,225,0
램페이지,12,12,9,1,12,9,5,138,0
